segment	oral	vfca	nasal	larynx	ac.1	ac.2	ac.3	ac.4	ac.5	ac.6	ac.7	ac.8	ac.9	ac.10	ac.11	ac.12	ac.13	ac.14	ac.15	ac.16	vt.1	vt.2	vt.3	vt.4	vt.5	vt.6	vt.7	vt.8	vt.9	vt.10	vt.11	vt.12	vt.13	vt.14	vt.15	vt.16
ɖ	-0.5071943321	-0.3514714146	-0.5118213401	-0.8216609145	0.6244197023	1.8977193402	-0.6811942663	1.350890428	-0.4099993596	-0.2682482516	0.6378656933	0.3508873831	-0.133907123	-0.1618367593	-0.7783864468	-0.3572821888	-0.1152757032	-0.1646495814	0.220415224	-0.3282787677	3.4634169874	-0.2450705851	1.3946141512	0.6490476737	0.195682448	-2.8032588139	-0.9774498925	0.5025590636	0.9824105383	-1.0478638345	0.0524833483	0.0778383861	0.1587127178	1.0229526364	-0.2760443832	-0.2111618957
dz	-0.5437220798	-0.1833123892	-0.3735011998	-1.0726892808	-5.9736644503	0.3121923252	-0.7950822635	0.2385212996	1.0736506239	1.9454804717	-0.0715995394	-1.1773699228	-0.1374081367	-0.0576269453	-0.148223295	-0.2860025028	0.0469515399	-0.4889269188	0.1139794247	-0.2486512691	5.923745837	-7.9562493001	-5.3328551818	-0.39657802	-1.1917656002	1.9718341683	-0.1290977389	-1.974534336	0.5017967751	-1.3824852416	0.4432481597	-0.6339958244	-0.8764682885	0.049349905	-0.0802997106	-0.2097820173
dʒ	-0.351623073	-0.0808891586	-0.4420918505	-0.8424333973	-5.0991406919	0.7772136534	-1.9253126549	0.4826303187	-0.6720466123	0.2388243013	0.1498245858	0.6311412127	0.2406182579	-0.8998610918	0.2747220477	-0.2033360048	0.0400359081	-0.2774782898	0.0135123824	0.0246450065	10.3665427691	-5.3725108791	-2.176111841	0.4843447662	-0.48674151	-0.2981938871	0.0856549831	-0.1185940056	-0.2198583547	0.3399111651	-0.4046625856	0.3333746352	0.0963687405	-0.1736354059	0.2109060931	0.1377856989
e	-0.3198240437	0.5180330594	-0.1256952405	0.7001572778	1.8147670653	0.1496300041	-1.7742966534	-1.2560430469	-1.2552146168	-0.1299872189	-0.3395319956	-0.0310262268	0.2020723568	0.7175034822	0.60595878	0.6227409135	0.1607516679	0.0711296724	0.1236165119	-0.1092385064	-2.2415082806	1.4652899743	3.0063388442	-0.2820052627	-3.2357692677	-0.2839592621	0.4398176796	0.3514919871	0.0073473206	0.2974148508	0.5138694667	0.2111714658	-0.1467907626	0.0385703803	0.2362844585	-0.276110912
ə	-0.3294137842	0.4287743268	-0.1270903242	0.1959973313	3.3322475597	-0.7969933279	0.8165517861	-1.2437895149	-1.2004046039	0.6188829544	0.4466583365	-0.3704042565	-0.0657426849	0.051729767	0.1390043957	-0.0627861421	0.1039184676	0.0211506836	-0.0468275843	-0.092527744	-8.0673601865	-1.0018577723	2.202862813	1.7292811083	0.9438796682	0.552368261	1.0517669202	-0.4251192357	0.2491792264	-0.7048328491	-0.2989749031	0.0396856297	-0.2726931015	-0.4573105502	0.0236962193	-0.2926037039
ɛ	-0.3280688396	0.4114193057	-0.1226822963	0.4287236198	2.5310800323	-0.4233570464	-0.8857792378	-1.2024023499	-1.6925058967	-0.2421355652	0.3262819857	-0.6342894189	0.0590157406	0.6160455099	0.4270717569	0.0403129468	0.0813944388	0.1211186604	0.164807126	-0.0073398404	-6.0649730926	-0.3369066925	2.9399816369	-0.250318724	-2.4345063179	-0.4329215131	0.2263138705	0.2180418057	-0.2445094074	0.1956898094	-0.3218367854	-0.1839080065	0.1230787965	0.0008393009	0.274531476	-0.3483576529
f	1.3577910428	-1.3932085304	-0.3296244115	0.7051671569	-4.3314781849	1.4860026345	2.1754476991	-1.2537610256	0.865699354	-0.4486721529	0.3283553045	0.5014281245	0.1642375644	0.8472839565	-0.4087638692	-0.2176906781	0.1383309512	-0.0346171369	-0.4739588371	0.0146189013	-3.1547620813	-0.2330872423	0.8012227807	-1.8443394998	0.1370123389	-0.0561010819	0.2264356475	-0.3233504476	0.1972604505	-0.4884564103	0.1381993782	-0.4561023675	-0.065105806	-0.4923730175	-0.0056140848	0.3403400919
h	2.5534004487	-1.6693433799	-0.1426644604	0.6082061212	-0.4349604158	0.960667426	1.5803512064	-1.1072769993	0.1609819511	-1.8773579538	-0.6222618933	-0.0961572077	0.2451777235	-0.8675439224	0.392157529	0.2627220739	0.1043122191	0.5420169335	-0.0731389153	0.1820713644	-3.0515673653	-0.0087089312	0.8949081842	-0.2879802037	-1.2846476259	-0.2980766236	0.5942411985	-0.4671389959	0.0269946837	-0.4281058201	0.1694622758	0.0124862407	-0.0481106584	0.090203661	-0.0332974009	0.0616367487
i	-0.3129474442	0.4081393435	-0.1102121276	0.7194582035	0.3976411048	0.1347033734	-2.7832964691	0.0532247889	0.8493211239	-0.3185263861	-1.1718059646	0.4827307343	0.2416669674	0.5376811442	0.3068908603	0.5430995568	0.1084090623	0.0551896843	-0.0888562226	-0.1879239806	6.2144184533	3.404913312	3.2947748407	-1.2020363962	-1.7804927594	-0.5819018828	0.1004652804	0.1677257559	-0.4796235379	-0.1275668984	0.6519080291	0.377731694	0.3560459376	-0.3261418346	0.1191582294	-0.5575388525
j	-0.1510689648	0.6116248836	-0.2837503072	0.4718239047	1.0681296756	-2.5309772857	-2.6394832862	0.5126428081	-0.092205751	-0.3496131522	-0.9867015534	-0.4322137547	-0.1284185275	-0.0410497678	-0.0039739146	0.4803479976	-0.104124788	-0.06642735	-0.0506798298	0.0514186836	6.7485468635	2.2975482887	2.6056898598	-1.2719037668	-1.6349850234	0.7629779719	-0.8930681283	-0.0397832799	-1.1891842676	-0.8658532482	0.1769317041	-0.4806301107	-0.0454737351	-0.5155047659	-0.0586081402	0.0229817587
